DMSO,DsRNA mimetic,+Ruxolitinib,+Tofacitinib
0.9691310792,0.2286618915,0.8934402185,0.7830825463
1.018399671,0.2278672368,0.8634916693,0.7532829949
0.97970992,0.183515571,0.7476210801,0.7080373426
0.983385198,0.1675231451,0.5984246591,0.6533054997
0.9955533482,0.2641233577,0.6682549414,0.7051567193
0.9648101443,0.1931507593,0.6309558361,0.7669411226
0.9803555769,0.1867935217,0.7023754278,0.6744631813
1.0113967764,0.3012734652,0.8214743018,0.7871551517
0.9466324179,0.2138614476,0.8572834294,0.8041905619
0.9620288528,0.1955347235,0.8653789742,0.971713707
1.0396070184,0.1910151248,0.9757366465,0.8150177323
0.9801072473,0.2281652323,0.6526598428,0.7091299928
1.3187294837,0.357892613,0.6968625108,0.7056533784
0.9583039089,0.3251131064,0.912809927,0.6703905759
0.9814978931,0.2195233624,0.7181691901,0.7434491429
1.054010135,0.2183313803,0.7218444681,0.7896881135
0.9802562451,0.1949883984,0.7830825463,0.8199346583
0.9942620343,0.2033322728,0.7532829949,0.9178261848
0.9768292967,0.1885814948,0.7080373426,1.0142773997
0.9653564694,0.1959817167,0.6533054997,0.765500811
1.0861439846,0.202587284,0.7051567193,0.8390063712
0.9520460031,0.2568224676,0.7669411226,0.7489620599
0.9844281823,0.2064115597,0.6744631813,0.6579740961
1.0470569063,0.179840293,0.7871551517,0.7025740915
1.0025562428,0.2575674564,0.7830825463,1.0276871978
0.991381411,0.2091928512,0.7532829949,1.1272176997
1.0010662652,0.227767905,0.7080373426,0.9539829739
0.8995491266,0.2232483063,0.6533054997,0.7699707437
1.0108504513,0.2064115597,0.7051567193,0.9268157162
1.0339947696,0.2748015303,0.7669411226,0.9680880949
0.9491157138,0.2605970775,0.6744631813,0.8266892233
0.9814482272,0.2499189049,0.7871551517,0.8849970123
1,0.2262624068,0.7496760075,0.8122550655
